fecha,peaje,sentido_1,sentido_2,total,tipo_dia,trm_dolar
2022-01-01,AGUAS NEGRAS,2810,1786,4596,festivo,4082.75
2022-01-01,ZAMBITO,2561,1429,3990,festivo,4082.75
2022-01-01,SAN JUAN,937,1169,2106,festivo,4082.75
2022-01-01,SAN DIEGO,886,901,1787,festivo,4082.75
2022-01-01,SABOYA,2181,1375,3556,festivo,4082.75
2022-01-01,PTO. TRIUNFO,2280,1656,3936,festivo,4082.75
2022-01-01,PLATANAL,652,429,1081,festivo,4082.75
2022-01-01,PAILITAS,2565,2160,4725,festivo,4082.75
2022-01-01,OIBA,1779,1494,3273,festivo,4082.75
2022-01-01,RINCON HONDO,397,461,858,festivo,4082.75
2022-01-01,LOS CUROS,1766,2058,3824,festivo,4082.75
2022-01-01,LOBOGUERRERO,1036,712,1748,festivo,4082.75
2022-01-01,LA PARADA,0,7773,7773,festivo,4082.75
2022-01-01,LA GOMEZ,2342,1419,3761,festivo,4082.75
2022-01-01,CURITÍ,1988,2028,4016,festivo,4082.75
2022-01-01,COCORNA (EL SANTUARIO),3034,2615,5649,festivo,4082.75
2022-01-01,CASABLANCA,4248,3597,7845,festivo,4082.75
2022-01-01,MORRISON,3075,2166,5241,festivo,4082.75
2022-01-02,PLATANAL,1746,1278,3024,fin_de_semana,4082.75
2022-01-02,PTO. TRIUNFO,4839,4528,9367,fin_de_semana,4082.75
2022-01-02,RINCON HONDO,1015,1369,2384,fin_de_semana,4082.75
2022-01-02,ZAMBITO,4070,3962,8032,fin_de_semana,4082.75
2022-01-02,SAN DIEGO,2351,1963,4314,fin_de_semana,4082.75
2022-01-02,SAN JUAN,2165,2440,4605,fin_de_semana,4082.75
2022-01-02,PAILITAS,6115,5291,11406,fin_de_semana,4082.75
2022-01-02,SABOYA,2486,5046,7532,fin_de_semana,4082.75
2022-01-02,OIBA,3967,5066,9033,fin_de_semana,4082.75
2022-01-02,LA GOMEZ,4142,3547,7689,fin_de_semana,4082.75
2022-01-02,LOS CUROS,4932,4948,9880,fin_de_semana,4082.75
2022-01-02,LOBOGUERRERO,2616,2227,4843,fin_de_semana,4082.75
2022-01-02,LA PARADA,0,10851,10851,fin_de_semana,4082.75
2022-01-02,CURITÍ,5273,4634,9907,fin_de_semana,4082.75
2022-01-02,COCORNA (EL SANTUARIO),5655,6129,11784,fin_de_semana,4082.75
2022-01-02,CASABLANCA,7701,9410,17111,fin_de_semana,4082.75
2022-01-02,AGUAS NEGRAS,4788,5196,9984,fin_de_semana,4082.75
2022-01-02,MORRISON,6211,5867,12078,fin_de_semana,4082.75
2022-01-03,PLATANAL,1991,1622,3613,entre_semana,4082.75
2022-01-03,PTO. TRIUNFO,5188,4641,9829,entre_semana,4082.75
